Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Continent,Year
104,Hungary,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,Europe,2015
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.118,0.354,Europe,2019
4,Iceland,7.495,1.343,1.644,0.914,0.677,0.138,0.353,Europe,2018
3,Iceland,7.50400019,1.48063302,1.61057401,0.83355212,0.62716264,0.15352656,0.47554022,Europe,2017
3,Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,Europe,2016
2,Iceland,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,Europe,2015
140,India,4.015,0.755,0.765,0.588,0.498,0.085,0.2,Asia,2019
133,India,4.19,0.721,0.747,0.485,0.539,0.093,0.172,Asia,2018
122,India,4.31500006,0.79222125,0.7543726,0.45542762,0.469987,0.09222689,0.23153849,Asia,2017
118,India,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,Asia,2016
117,India,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,Asia,2015
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.028,0.498,Asia,2019
96,Indonesia,5.093,0.899,1.215,0.522,0.538,0.018,0.484,Asia,2018
81,Indonesia,5.26200008,0.99553859,1.2744447,0.49234572,0.44332346,0.01531714,0.61170459,Asia,2017
79,Indonesia,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,Asia,2016
74,Indonesia,5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535,Asia,2015
117,Iran,4.548,1.1,0.842,0.785,0.305,0.125,0.27,Asia,2019
106,Iran,4.707,1.059,0.771,0.691,0.459,0.129,0.282,Asia,2018
108,Iran,4.69199991,1.15687311,0.71155125,0.63933319,0.24932261,0.04876107,0.38724291,Asia,2017
105,Iran,4.813,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,Asia,2016
110,Iran,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,Asia,2015
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.089,0.148,Asia,2019
117,Iraq,4.456,1.01,0.971,0.536,0.304,0.095,0.148,Asia,2018
117,Iraq,4.49700022,1.10271049,0.9786132,0.50118047,0.28855553,0.10721575,0.19963726,Asia,2017
112,Iraq,4.575,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,Asia,2016
112,Iraq,4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922,Asia,2015
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.31,0.298,Europe,2019
14,Ireland,6.977,1.448,1.583,0.876,0.614,0.306,0.307,Europe,2018
15,Ireland,6.97700024,1.53570664,1.55823112,0.80978262,0.57311034,0.29838815,0.42785832,Europe,2017
19,Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,Europe,2016
18,Ireland,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,Europe,2015
13,Israel,7.139,1.276,1.455,1.029,0.371,0.082,0.261,Asia,2019
19,Israel,6.814,1.301,1.559,0.883,0.533,0.272,0.354,Asia,2018
11,Israel,7.21299982,1.37538242,1.37628996,0.838404,0.4059886,0.0852421,0.33008265,Asia,2017
11,Israel,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,Asia,2016
11,Israel,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,Asia,2015
36,Italy,6.223,1.294,1.488,1.039,0.231,0.03,0.158,Europe,2019
47,Italy,6,1.264,1.501,0.946,0.281,0.028,0.137,Europe,2018
48,Italy,5.96400023,1.39506662,1.44492328,0.85314435,0.25645071,0.02802809,0.17278965,Europe,2017
50,Italy,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,Europe,2016
50,Italy,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,Europe,2015
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.09,0.154,Africa,2019
107,Ivory Coast,4.671,0.541,0.872,0.08,0.467,0.103,0.146,Africa,2018
128,Ivory Coast,4.17999983,0.60304892,0.90478003,0.04864217,0.44770619,0.13006178,0.20123747,Africa,2017
139,Ivory Coast,3.916,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,Africa,2016
151,Ivory Coast,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,Africa,2015
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.028,0.107,North America,2019
56,Jamaica,5.89,0.819,1.493,0.693,0.575,0.031,0.096,North America,2018
76,Jamaica,5.31099987,0.92557931,1.36821806,0.64102238,0.47430724,0.05526778,0.23381834,North America,2017
73,Jamaica,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,North America,2016
65,Jamaica,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,North America,2015
58,Japan,5.886,1.327,1.419,1.088,0.445,0.14,0.069,Asia,2019
54,Japan,5.915,1.294,1.462,0.988,0.553,0.15,0.079,Asia,2018
51,Japan,5.92000008,1.41691518,1.43633783,0.91347587,0.50562555,0.16376074,0.12057277,Asia,2017
53,Japan,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,Asia,2016
46,Japan,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,Asia,2015
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.13,0.11,Asia,2019
90,Jordan,5.161,0.822,1.265,0.645,0.468,0.134,0.13,Asia,2018
74,Jordan,5.33599997,0.99101239,1.23908889,0.60459006,0.41842115,0.11980327,0.17217046,Asia,2017
80,Jordan,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,Asia,2016
82,Jordan,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,Asia,2015
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.096,0.146,Asia,2019
60,Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.121,0.148,Asia,2018
60,Kazakhstan,5.81899977,1.28455627,1.38436902,0.60604155,0.43745428,0.11928289,0.20196442,Asia,2017
54,Kazakhstan,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,Asia,2016
54,Kazakhstan,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,Asia,2015
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.053,0.372,Africa,2019
124,Kenya,4.41,0.493,1.048,0.454,0.504,0.055,0.352,Africa,2018
112,Kenya,4.55299997,0.56047946,1.06795073,0.30998835,0.45276377,0.06464132,0.44486031,Africa,2017
122,Kenya,4.356,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,Africa,2016
125,Kenya,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,Africa,2015
46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.006,0.262,Europe,2019
66,Kosovo,5.662,0.855,1.23,0.578,0.448,0.023,0.274,Europe,2018
78,Kosovo,5.27899981,0.95148438,1.1378535,0.54145205,0.26028794,0.05747162,0.31993145,Europe,2017
77,Kosovo,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,Europe,2016
69,Kosovo,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,Europe,2015
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.097,0.142,Asia,2019
45,Kuwait,6.083,1.474,1.301,0.675,0.554,0.106,0.167,Asia,2018
39,Kuwait,6.10500002,1.63295245,1.25969875,0.63210571,0.49633759,0.21515955,0.2282898,Asia,2017
41,Kuwait,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,Asia,2016
39,Kuwait,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,Asia,2015
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.023,0.3,Asia,2019
92,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54,0.035,0.281,Asia,2018
98,Kyrgyzstan,5.00400019,0.59622008,1.39423859,0.5534578,0.45494339,0.03943918,0.42858037,Asia,2017
85,Kyrgyzstan,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,Asia,2016
77,Kyrgyzstan,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,Asia,2015
105,Laos,4.796,0.764,1.03,0.551,0.547,0.164,0.266,Asia,2019
110,Laos,4.623,0.72,1.034,0.441,0.626,0.174,0.23,Asia,2018
102,Laos,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,Asia,2016
99,Laos,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,Asia,2015
53,Latvia,5.94,1.187,1.465,0.812,0.264,0.064,0.075,Europe,2019
53,Latvia,5.933,1.148,1.454,0.671,0.363,0.066,0.092,Europe,2018
54,Latvia,5.8499999,1.26074862,1.40471494,0.63856697,0.32570791,0.07384273,0.15307479,Europe,2017
68,Latvia,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,Europe,2016
89,Latvia,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,Europe,2015
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.027,0.166,Asia,2019
80,Lebanon,5.358,0.965,1.179,0.785,0.503,0.136,0.214,Asia,2018
88,Lebanon,5.2249999,1.07498753,1.12962425,0.73508108,0.28851599,0.03751383,0.26445076,Asia,2017
93,Lebanon,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,Asia,2016
103,Lebanon,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,Asia,2015
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.093,0.107,Africa,2019
141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.112,0.116,Africa,2018
139,Lesotho,3.80800009,0.52102125,1.19009519,0,0.3906613,0.11909464,0.15749727,Africa,2017
97,Lesotho,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,Africa,2015
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.033,0.233,Africa,2019
149,Liberia,3.495,0.076,0.858,0.267,0.419,0.03,0.206,Africa,2018
148,Liberia,3.53299999,0.11904179,0.87211794,0.2299182,0.33288118,0.03894825,0.26654989,Africa,2017
150,Liberia,3.622,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,Africa,2016
116,Liberia,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,Africa,2015
72,Libya,5.525,1.044,1.303,0.673,0.416,0.152,0.133,Africa,2019
70,Libya,5.566,0.985,1.35,0.553,0.496,0.148,0.116,Africa,2018
68,Libya,5.5250001,1.10180306,1.35756433,0.52016902,0.46573323,0.09261021,0.15207367,Africa,2017
67,Libya,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,Africa,2016
63,Libya,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,Africa,2015
42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.042,0.043,Europe,2019
50,Lithuania,5.952,1.197,1.527,0.716,0.35,0.006,0.026,Europe,2018
52,Lithuania,5.90199995,1.31458235,1.47351611,0.62894994,0.23423178,0.01186564,0.01016466,Europe,2017
60,Lithuania,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,Europe,2016
56,Lithuania,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,Europe,2015
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.316,0.194,Europe,2019
17,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.321,0.196,Europe,2018
18,Luxembourg,6.86299992,1.7419436,1.45758367,0.8450895,0.59662789,0.31883442,0.28318098,Europe,2017
20,Luxembourg,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,Europe,2016
17,Luxembourg,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,Europe,2015
89,Macedonia,5.185,0.959,1.239,0.691,0.394,0.052,0.173,Europe,2018
92,Macedonia,5.17500019,1.06457794,1.20789301,0.64494818,0.32590598,0.06027779,0.25376096,Europe,2017
95,Macedonia,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,Europe,2016
93,Macedonia,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,Europe,2015
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.041,0.169,Africa,2019
143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.049,0.155,Africa,2018
144,Madagascar,3.64400005,0.30580869,0.91302037,0.37522331,0.18919677,0.06723198,0.20873253,Africa,2017
148,Madagascar,3.695,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,Africa,2016
147,Madagascar,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,Africa,2015
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.089,0.218,Africa,2019
147,Malawi,3.587,0.186,0.541,0.306,0.531,0.08,0.21,Africa,2018
136,Malawi,3.97000003,0.23344204,0.51256883,0.31508958,0.46691465,0.07271165,0.28717047,Africa,2017
132,Malawi,4.156,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,Africa,2016
131,Malawi,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,Africa,2015
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.024,0.26,Asia,2019
35,Malaysia,6.322,1.161,1.258,0.669,0.356,0.059,0.311,Asia,2018
42,Malaysia,6.08400011,1.29121542,1.28464603,0.61878443,0.40226498,0.06560071,0.41660893,Asia,2017
47,Malaysia,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,Asia,2016
61,Malaysia,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,Asia,2015
128,Mali,4.39,0.385,1.105,0.308,0.327,0.052,0.153,Africa,2019
118,Mali,4.447,0.37,1.233,0.152,0.367,0.056,0.139,Africa,2018
127,Mali,4.19000006,0.47618049,1.2814734,0.16936567,0.30661374,0.10497025,0.1833542,Africa,2017
135,Mali,4.073,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,Africa,2016
138,Mali,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,Africa,2015
22,Malta,6.726,1.3,1.52,0.999,0.564,0.151,0.375,Europe,2019
22,Malta,6.627,1.27,1.525,0.884,0.645,0.142,0.376,Europe,2018
27,Malta,6.52699995,1.34327984,1.48841166,0.82194424,0.58876705,0.15306607,0.57473058,Europe,2017
30,Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,Europe,2016
37,Malta,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,Europe,2015
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.088,0.106,Africa,2019
126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.093,0.134,Africa,2018
123,Mauritania,4.29199982,0.64845729,1.27203083,0.28534928,0.09609804,0.136957,0.20187002,Africa,2017
130,Mauritania,4.201,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,Africa,2016
124,Mauritania,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,Africa,2015
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.06,0.215,Africa,2019
55,Mauritius,5.891,1.09,1.387,0.684,0.584,0.05,0.245,Africa,2018
64,Mauritius,5.62900019,1.18939555,1.20956099,0.63800746,0.49124733,0.04218156,0.36093375,Africa,2017
66,Mauritius,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,Africa,2016
71,Mauritius,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,Africa,2015
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.073,0.074,North America,2019
24,Mexico,6.488,1.038,1.252,0.761,0.479,0.095,0.069,North America,2018
25,Mexico,6.57800007,1.15318382,1.21086216,0.709979,0.41273001,0.13277411,0.12099043,North America,2017
21,Mexico,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,North America,2016
14,Mexico,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,North America,2015
71,Moldova,5.529,0.685,1.328,0.739,0.245,0,0.181,Europe,2019
67,Moldova,5.64,0.657,1.301,0.62,0.232,0,0.171,Europe,2018
56,Moldova,5.83799982,0.72887063,1.25182557,0.5894652,0.24072905,0.01009129,0.20877913,Europe,2017
55,Moldova,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,Europe,2016
52,Moldova,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,Europe,2015
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.038,0.235,Asia,2019
94,Mongolia,5.125,0.914,1.517,0.575,0.395,0.032,0.253,Asia,2018
100,Mongolia,4.95499992,1.02723587,1.49301124,0.55778348,0.39414397,0.03290229,0.33846423,Asia,2017
101,Mongolia,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,Asia,2016
100,Mongolia,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,Asia,2015
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.08,0.142,Europe,2019
81,Montenegro,5.347,1.017,1.279,0.729,0.259,0.081,0.111,Europe,2018
83,Montenegro,5.23699999,1.12112904,1.2383765,0.66746467,0.19498906,0.08817419,0.19791102,Europe,2017
88,Montenegro,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,Europe,2016
82,Montenegro,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,Europe,2015
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.076,0.036,Africa,2019
85,Morocco,5.254,0.779,0.797,0.669,0.46,0.074,0.026,Africa,2018
84,Morocco,5.23500013,0.87811458,0.77486444,0.59771067,0.40815833,0.08776318,0.03220996,Africa,2017
90,Morocco,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,Africa,2016
92,Morocco,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,Africa,2015
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.138,0.197,Africa,2019
123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.158,0.206,Africa,2018
113,Mozambique,4.55000019,0.23430565,0.87070101,0.10665444,0.48079109,0.17943639,0.3222281,Africa,2017
94,Mozambique,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,Africa,2015
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.172,0.566,Asia,2019
130,Myanmar,4.308,0.682,1.174,0.429,0.58,0.178,0.598,Asia,2018
114,Myanmar,4.54500008,0.36711055,1.12323594,0.39752257,0.51449203,0.1888162,0.83807516,Asia,2017
119,Myanmar,4.395,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,Asia,2016
129,Myanmar,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,Asia,2015
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.056,0.07,Africa,2019
119,Namibia,4.441,0.874,1.281,0.365,0.519,0.064,0.051,Africa,2018
111,Namibia,4.57399988,0.96443433,1.09847081,0.33861181,0.52030355,0.09314697,0.07713374,Africa,2017
113,Namibia,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,Africa,2016
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.089,0.285,Asia,2019
101,Nepal,4.88,0.425,1.228,0.539,0.526,0.078,0.302,Asia,2018
99,Nepal,4.96199989,0.47982019,1.17928326,0.50413078,0.44030595,0.07297555,0.39409617,Asia,2017
107,Nepal,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,Asia,2016
121,Nepal,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,Asia,2015
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.298,0.322,Europe,2019
6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.295,0.333,Europe,2018
6,Netherlands,7.37699986,1.50394464,1.42893922,0.81069613,0.58538449,0.28266183,0.47048983,Europe,2017
7,Netherlands,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,Europe,2016
7,Netherlands,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,Europe,2015
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.38,0.33,Oceania,2019
8,New Zealand,7.324,1.268,1.601,0.876,0.669,0.389,0.365,Oceania,2018
8,New Zealand,7.31400013,1.40570605,1.54819512,0.81675971,0.61406213,0.3828167,0.50000513,Oceania,2017
8,New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,Oceania,2016
9,New Zealand,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,Oceania,2015
45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.127,0.2,North America,2019
41,Nicaragua,6.141,0.668,1.319,0.7,0.527,0.128,0.208,North America,2018
43,Nicaragua,6.0710001,0.7372992,1.28721571,0.65309596,0.44755185,0.13068798,0.30167422,North America,2017
48,Nicaragua,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,North America,2016
57,Nicaragua,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,North America,2015
114,Niger,4.628,0.138,0.774,0.366,0.318,0.102,0.188,Africa,2019
134,Niger,4.166,0.131,0.867,0.221,0.39,0.099,0.175,Africa,2018
135,Niger,4.02799988,0.16192533,0.993025,0.26850501,0.3636587,0.13857295,0.22867385,Africa,2017
142,Niger,3.856,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,Africa,2016
144,Niger,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,Africa,2015
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.041,0.215,Africa,2019
91,Nigeria,5.155,0.689,1.172,0.048,0.462,0.032,0.201,Africa,2018
95,Nigeria,5.07399988,0.78375626,1.21577048,0.05691573,0.39495257,0.02612157,0.2309472,Africa,2017
103,Nigeria,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,Africa,2016
78,Nigeria,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,Africa,2015
61,North Cyprus,5.80999994,1.34691131,1.18630338,0.83464724,0.47120363,0.15535335,0.2668457,Europe,2017
62,North Cyprus,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,Europe,2016
66,North Cyprus,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,Europe,2015
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.034,0.185,Europe,2019
64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.162,0.191,Europe,2019
58,Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.154,0.179,Europe,2018
3,Norway,7.554,1.488,1.582,1.028,0.603,0.341,0.271,Europe,2019
2,Norway,7.594,1.456,1.582,0.861,0.686,0.34,0.286,Europe,2018
1,Norway,7.53700018,1.61646318,1.53352356,0.7966665,0.63542259,0.31596383,0.36201224,Europe,2017
4,Norway,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,Europe,2016
4,Norway,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,Europe,2015
22,Oman,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,Asia,2015
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.098,0.22,Asia,2019
75,Pakistan,5.472,0.652,0.81,0.424,0.334,0.113,0.216,Asia,2018
80,Pakistan,5.26900005,0.72688353,0.67269069,0.40204778,0.23521526,0.12434807,0.31544602,Asia,2017
92,Pakistan,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,Asia,2016
81,Pakistan,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,Asia,2015
110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.066,0.103,Asia,2019
104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266,0.076,0.086,Asia,2018
103,Palestinian Territories,4.7750001,0.71624923,1.15564716,0.56566697,0.25471106,0.0892826,0.11417317,Asia,2017
108,Palestinian Territories,4.754,0.67024,0.71629,0.56844,0.17744,0.10613,0.11154,Asia,2016
108,Palestinian Territories,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,Asia,2015
31,Panama,6.321,1.149,1.442,0.91,0.516,0.054,0.109,North America,2019
27,Panama,6.43,1.112,1.438,0.759,0.597,0.063,0.125,North America,2018
30,Panama,6.45200014,1.23374844,1.37319255,0.70615613,0.55002683,0.07098392,0.21055694,North America,2017
25,Panama,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,North America,2016
25,Panama,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,North America,2015
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.08,0.184,South America,2019
64,Paraguay,5.681,0.835,1.522,0.615,0.541,0.074,0.162,South America,2018
70,Paraguay,5.49300003,0.93253732,1.50728488,0.57925069,0.47350779,0.09106591,0.22415066,South America,2017
70,Paraguay,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,South America,2016
53,Paraguay,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,South America,2015
65,Peru,5.697,0.96,1.274,0.854,0.455,0.027,0.083,South America,2019
65,Peru,5.663,0.934,1.249,0.674,0.53,0.034,0.092,South America,2018
63,Peru,5.71500015,1.03522527,1.21877038,0.63016611,0.45000288,0.04704909,0.12681971,South America,2017
64,Peru,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,South America,2016
58,Peru,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,South America,2015
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.107,0.117,Asia,2019
71,Philippines,5.524,0.775,1.312,0.513,0.643,0.105,0.12,Asia,2018
72,Philippines,5.42999983,0.85769922,1.25391757,0.46800905,0.58521467,0.09933189,0.19351342,Asia,2017
82,Philippines,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,Asia,2016
90,Philippines,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,Asia,2015
40,Poland,6.182,1.206,1.438,0.884,0.483,0.05,0.117,Europe,2019
42,Poland,6.123,1.176,1.448,0.781,0.546,0.064,0.108,Europe,2018
46,Poland,5.97300005,1.29178786,1.44571197,0.69947535,0.52034211,0.05930781,0.15846597,Europe,2017
57,Poland,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,Europe,2016
60,Poland,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,Europe,2015
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.025,0.047,Europe,2019
77,Portugal,5.41,1.188,1.429,0.884,0.562,0.017,0.055,Europe,2018
89,Portugal,5.19500017,1.31517529,1.36704302,0.79584354,0.4984653,0.01586945,0.09510271,Europe,2017
94,Portugal,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,Europe,2016
88,Portugal,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,Europe,2015
15,Puerto Rico,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,Europe,2016
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.167,0.22,Asia,2019
32,Qatar,6.374,1.649,1.303,0.748,0.654,0.171,0.256,Asia,2018
35,Qatar,6.375,1.87076569,1.27429688,0.71009809,0.60413098,0.43929926,0.33047387,Asia,2017
36,Qatar,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,Asia,2016
28,Qatar,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,Asia,2015
48,Romania,6.07,1.162,1.232,0.825,0.462,0.005,0.083,Europe,2019
52,Romania,5.945,1.116,1.219,0.726,0.528,0.001,0.088,Europe,2018
57,Romania,5.82499981,1.21768391,1.15009129,0.68515831,0.45700374,0.0043879,0.13351992,Europe,2017
71,Romania,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,Europe,2016
